,Time,Fog node,Device,Long,Lat,Cost,TimeSec,TimeMin
0,2014-02-01 00:00:19.979934,8.0,260,41.9054729323709,12.467404186287801,35.119605,19,0
1,2014-02-01 00:00:24.285752,7.0,331,41.900416337885,12.4731430504471,91.81392400000001,24,0
2,2014-02-01 00:00:28.605089,5.0,172,41.8744,12.4857,124.825902,28,0
3,2014-02-01 00:00:35.081246,8.0,260,41.9054889588894,12.468895125864902,44.11776233333333,35,0
4,2014-02-01 00:00:40.630558,7.0,331,41.900416337885,12.4731430504471,110.38229033333334,40,0
5,2014-02-01 00:00:54.831185,7.0,331,41.900416337885,12.4731430504471,119.58784419999999,54,0
6,2014-02-01 00:01:03.580965,8.0,260,41.9056126624629,12.469307342447,45.338094,63,1
7,2014-02-01 00:01:03.647280,8.0,260,41.9058855158091,12.470174836075802,53.2081435,63,1
8,2014-02-01 00:01:03.647891,8.0,260,41.9058855158091,12.470174836075802,41.655947999999995,63,1
9,2014-02-01 00:01:04.867444,8.0,260,41.905991063962496,12.4704423637729,47.272617,64,1
10,2014-02-01 00:01:09.141196,7.0,321,41.93883986,12.47893366,14.720315399999999,69,1
11,2014-02-01 00:01:09.341692,7.0,331,41.900416337885,12.4731430504471,34.4006825,69,1
12,2014-02-01 00:01:12.140201,7.0,317,41.8901012930877,12.4746757174259,16.015639888888888,72,1
13,2014-02-01 00:01:13.646508,5.0,172,41.8738,12.4875,9.545205,73,1
14,2014-02-01 00:01:19.862550,8.0,260,41.9052856567419,12.471264678602,56.9050895,79,1
15,2014-02-01 00:01:20.705136,7.0,234,41.8964194334919,12.480186953171401,50.85110871428571,80,1
16,2014-02-01 00:01:20.804244,3.0,295,41.896863599358895,12.5114766424649,19.477708444444445,80,1
17,2014-02-01 00:01:21.704349,7.0,317,41.8901012930877,12.4746757174259,11.716911444444444,81,1
18,2014-02-01 00:01:23.681250,7.0,321,41.93792878,12.47785232,14.149061999999999,83,1
19,2014-02-01 00:01:25.192044,7.0,331,41.900416337885,12.4731430504471,25.033467250000005,85,1
20,2014-02-01 00:01:29.651966,5.0,172,41.8726,12.4896,29.101219999999998,89,1
21,2014-02-01 00:01:32.685504,7.0,234,41.89618090513729,12.479895263511,12.056354111111112,92,1
22,2014-02-01 00:01:33.828394,7.0,232,41.89676082336,12.4840968379219,55.42328199999999,93,1
23,2014-02-01 00:01:34.833450,8.0,260,41.9051615277612,12.472795592077699,101.051101,94,1
24,2014-02-01 00:01:35.888805,3.0,295,41.8972919031781,12.510066073374698,24.945780222222226,95,1
25,2014-02-01 00:01:36.956867,7.0,317,41.8901012930877,12.4746757174259,41.62369188888889,96,1
26,2014-02-01 00:01:39.332019,7.0,331,41.900416337885,12.4731430504471,18.9850238,99,1
27,2014-02-01 00:01:40.559892,7.0,321,41.93739154,12.47506843,136.51483050000002,100,1
28,2014-02-01 00:01:41.184056,7.0,228,41.9004258237081,12.472738484481999,36.166796444444444,101,1
29,2014-02-01 00:01:43.645964,5.0,172,41.8717,12.4919,47.322464,103,1
30,2014-02-01 00:01:48.841102,7.0,234,41.89593612170621,12.4790059691256,19.01868285714286,108,1
31,2014-02-01 00:01:49.562935,7.0,232,41.89676082336,12.4840968379219,13.643899,109,1
32,2014-02-01 00:01:49.832346,7.0,260,41.905103950278004,12.473190525423698,42.735704999999996,109,1
33,2014-02-01 00:01:51.200496,3.0,295,41.898220792758295,12.509052130424301,39.35078611111112,111,1
34,2014-02-01 00:01:51.549080,7.0,317,41.8901012930877,12.4746757174259,61.33352971428572,111,1
35,2014-02-01 00:01:54.326965,7.0,331,41.900416337885,12.4731430504471,74.51192614285715,114,1
36,2014-02-01 00:01:56.245537,7.0,228,41.9004258237081,12.472738484481999,37.948609125,116,1
37,2014-02-01 00:01:59.136844,5.0,172,41.8713,12.4948,20.122518,119,1
38,2014-02-01 00:02:02.628203,7.0,234,41.8953369850016,12.4795733855347,13.580541,122,2
39,2014-02-01 00:02:03.352858,7.0,232,41.8966805347716,12.4829852661979,40.897383000000005,123,2
40,2014-02-01 00:02:04.862726,7.0,260,41.905103950278004,12.473190525423698,7.7880125,124,2
41,2014-02-01 00:02:07.446791,3.0,295,41.898958932117296,12.5077497933215,17.655797777777778,127,2
42,2014-02-01 00:02:08.960044,7.0,321,41.93830575,12.47174986,210.946527,128,2
43,2014-02-01 00:02:08.960044,8.0,321,41.93830575,12.47174986,5.721638,128,2
44,2014-02-01 00:02:09.993273,7.0,331,41.900416337885,12.4731430504471,74.82918885714285,129,2
45,2014-02-01 00:02:10.644444,7.0,317,41.8901012930877,12.4746757174259,23.834107,130,2
46,2014-02-01 00:02:12.205761,7.0,228,41.9004258237081,12.472738484481999,35.775353333333335,132,2
47,2014-02-01 00:02:14.592139,4.0,172,41.8712,12.4979,37.516574,134,2
48,2014-02-01 00:02:18.547380,7.0,234,41.8950307671899,12.480521302730502,30.507157999999997,138,2
49,2014-02-01 00:02:18.857850,7.0,232,41.8963118236914,12.4821276739543,55.484666,138,2
50,2014-02-01 00:02:20.455865,7.0,260,41.904936221129496,12.4739049052351,29.644914200000006,140,2
51,2014-02-01 00:02:21.217522,3.0,295,41.89927761559721,12.5068999500579,17.072103555555554,141,2
52,2014-02-01 00:02:21.427470,7.0,317,41.8901012930877,12.4746757174259,19.037079,141,2
53,2014-02-01 00:02:23.977725,8.0,321,41.939476899999995,12.47123956,2.3262826666666667,143,2
54,2014-02-01 00:02:24.479029,7.0,331,41.900416337885,12.4731430504471,31.785931222222228,144,2
55,2014-02-01 00:02:27.110292,7.0,228,41.9004258237081,12.472738484481999,20.928881555555556,147,2
56,2014-02-01 00:02:29.088527,4.0,172,41.8711,12.5007,33.753955,149,2
57,2014-02-01 00:02:33.052871,7.0,234,41.894555507979895,12.4811146218012,38.101375499999996,153,2
58,2014-02-01 00:02:33.679176,7.0,232,41.895332265232604,12.481861830648501,19.30471866666667,153,2
59,2014-02-01 00:02:34.881888,7.0,260,41.9049104868798,12.4755377092291,10.582754399999999,154,2
60,2014-02-01 00:02:35.815185,3.0,295,41.89927761559721,12.5068999500579,17.250406777777776,155,2
61,2014-02-01 00:02:36.435943,7.0,317,41.8901012930877,12.4746757174259,38.69557225,156,2
62,2014-02-01 00:02:38.836594,8.0,321,41.941612899999996,12.47085792,7.692300500000001,158,2
63,2014-02-01 00:02:39.310079,7.0,331,41.900416337885,12.4731430504471,33.868987249999996,159,2
64,2014-02-01 00:02:41.562093,7.0,228,41.9004258237081,12.472738484481999,35.065326,161,2
65,2014-02-01 00:02:44.009298,4.0,172,41.8713,12.5034,33.642623666666665,164,2
66,2014-02-01 00:02:47.675483,7.0,234,41.893760318278105,12.4817745919488,37.338021,167,2
67,2014-02-01 00:02:48.834521,7.0,232,41.894902692375005,12.4810389741245,22.703697000000002,168,2
68,2014-02-01 00:02:50.814566,3.0,295,41.897288067428605,12.504658279428899,31.68963388888889,170,2
69,2014-02-01 00:02:50.836487,7.0,260,41.9048118274944,12.4774503289935,47.91194366666667,170,2
70,2014-02-01 00:02:51.427043,7.0,317,41.8901012930877,12.4746757174259,64.74408516666666,171,2
71,2014-02-01 00:02:54.208795,8.0,321,41.94287117,12.47018187,21.021962600000002,174,2
72,2014-02-01 00:02:54.810663,7.0,331,41.900416337885,12.4731430504471,47.844513500000005,174,2
73,2014-02-01 00:02:57.186393,7.0,228,41.9004258237081,12.472738484481999,25.911294777777776,177,2
74,2014-02-01 00:02:58.582679,4.0,172,41.8726,12.505,35.72831814285714,178,2
75,2014-02-01 00:03:03.418058,7.0,234,41.892633761846795,12.4806271419271,16.179729428571427,183,3
76,2014-02-01 00:03:05.285981,7.0,232,41.8940642393284,12.481479429504,24.624113500000004,185,3
77,2014-02-01 00:03:05.809309,3.0,295,41.8969225296268,12.505136528642002,44.57481088888889,185,3
78,2014-02-01 00:03:06.109644,7.0,317,41.8901012930877,12.4746757174259,62.690756000000015,186,3
79,2014-02-01 00:03:06.338852,7.0,260,41.9046308436449,12.478883106690303,64.77300614285714,186,3
80,2014-02-01 00:03:08.870992,8.0,321,41.94533053,12.46922755,27.790927,188,3
81,2014-02-01 00:03:09.308243,7.0,331,41.900416337885,12.4731430504471,25.744190600000003,189,3
82,2014-02-01 00:03:11.179106,7.0,228,41.9004258237081,12.472738484481999,24.2665695,191,3
83,2014-02-01 00:03:13.652268,3.0,172,41.8738,12.5061,30.395399285714287,193,3
84,2014-02-01 00:03:17.711605,7.0,234,41.8910249758551,12.4803805606693,13.607238714285712,197,3
85,2014-02-01 00:03:18.983368,7.0,232,41.8931430486746,12.481295664602401,28.33810414285714,198,3
86,2014-02-01 00:03:20.242725,7.0,260,41.9046308436449,12.478883106690303,37.635679333333336,200,3
87,2014-02-01 00:03:20.815082,3.0,295,41.89638639577571,12.5051280313842,15.09583788888889,200,3
88,2014-02-01 00:03:21.427381,7.0,317,41.8901012930877,12.4746757174259,86.62337224999999,201,3
89,2014-02-01 00:03:23.917056,8.0,321,41.94703616,12.4699037,55.19628083333334,203,3
90,2014-02-01 00:03:26.088523,7.0,331,41.900416337885,12.4731430504471,84.7214245,206,3
91,2014-02-01 00:03:26.717082,7.0,228,41.9004258237081,12.472738484481999,39.78377177777779,206,3
92,2014-02-01 00:03:28.633726,3.0,172,41.8748,12.507,25.610308625000002,208,3
93,2014-02-01 00:03:32.667963,7.0,234,41.8895580077197,12.4810182350842,12.45995088888889,212,3
94,2014-02-01 00:03:33.351737,7.0,232,41.8918195846541,12.480185996298301,44.1145586,213,3
95,2014-02-01 00:03:35.815353,3.0,295,41.896037652699704,12.504986610864801,18.408566111111114,215,3
96,2014-02-01 00:03:36.424376,7.0,317,41.8901012930877,12.4746757174259,19.5185836,216,3
97,2014-02-01 00:03:37.927517,7.0,260,41.903008654726,12.479716427922499,19.3864148,217,3
98,2014-02-01 00:03:39.276646,7.0,331,41.900416337885,12.4731430504471,16.793496625000003,219,3
99,2014-02-01 00:03:39.348432,8.0,321,41.94728606,12.47002761,65.14643033333334,219,3
100,2014-02-01 00:03:42.491951,7.0,228,41.9004258237081,12.472738484481999,21.428289375000002,222,3
101,2014-02-01 00:03:43.611550,3.0,172,41.8761,12.508,33.53218224999999,223,3
102,2014-02-01 00:03:47.279270,7.0,234,41.888513026971204,12.4813515439852,35.12367044444445,227,3
103,2014-02-01 00:03:50.156410,7.0,232,41.8901124101355,12.480760703949098,72.238217,230,3
104,2014-02-01 00:03:50.815138,3.0,295,41.8954834878139,12.5060065653074,23.264121666666668,230,3
105,2014-02-01 00:03:51.438271,7.0,317,41.8901012930877,12.4746757174259,12.56899675,231,3
106,2014-02-01 00:03:52.525306,7.0,260,41.90081204842021,12.4805065782517,26.193546374999997,232,3
107,2014-02-01 00:03:53.833169,8.0,321,41.94728606,12.47002761,22.104557285714286,233,3
108,2014-02-01 00:03:54.286841,7.0,331,41.900416337885,12.4731430504471,17.799610285714287,234,3
109,2014-02-01 00:03:56.243095,7.0,228,41.9004258237081,12.472738484481999,5.265228428571428,236,3
110,2014-02-01 00:03:58.573714,3.0,172,41.8777,12.5084,25.26549411111111,238,3
111,2014-02-01 00:04:02.861343,7.0,234,41.8884487284786,12.481326940782301,30.983539222222223,242,4
112,2014-02-01 00:04:03.342858,7.0,232,41.88881332822721,12.4813419078675,71.425134,243,4
113,2014-02-01 00:04:04.875576,7.0,260,41.8996633023596,12.480983262151302,22.184018222222225,244,4
114,2014-02-01 00:04:05.815490,3.0,295,41.8945997254569,12.506582443007,25.408220888888888,245,4
